Date,Open,High,Low,Close,Adj Close,Volume
"Jan 19, 2024",94.25,95.16,87.48,93.39,93.39,"2,631,067,383"
"Jan 18, 2024",102.03,102.92,92.14,94.25,94.25,"2,684,524,713"
"Jan 17, 2024",97.62,102.43,97.06,102.06,102.06,"3,220,344,763"
"Jan 16, 2024",94.44,98.60,94.40,97.63,97.63,"1,806,576,879"
"Jan 15, 2024",94.04,96.82,93.24,94.49,94.49,"1,755,858,499"
"Jan 14, 2024",95.73,102.17,93.89,94.13,94.13,"2,736,734,725"
"Jan 13, 2024",91.76,96.92,89.75,95.73,95.73,"1,880,329,065"
"Jan 12, 2024",99.91,100.25,88.31,91.72,91.72,"2,868,799,888"
"Jan 11, 2024",102.10,106.94,98.41,99.91,99.91,"4,174,026,719"
"Jan 10, 2024",99.38,105.08,92.56,102.03,102.03,"4,216,429,514"
"Jan 9, 2024",97.82,103.80,95.89,99.41,99.41,"4,070,131,683"
"Jan 8, 2024",89.28,99.76,85.65,97.79,97.79,"4,152,448,360"
"Jan 7, 2024",93.86,96.69,88.22,89.28,89.28,"2,288,061,692"
"Jan 6, 2024",99.99,100.04,92.02,93.86,93.86,"2,235,902,092"
"Jan 5, 2024",105.05,105.24,95.94,99.98,99.98,"3,022,127,826"
"Jan 4, 2024",98.59,107.98,97.11,105.08,105.08,"3,272,723,247"
"Jan 3, 2024",106.62,109.85,92.92,98.59,98.59,"5,472,216,595"
"Jan 2, 2024",109.55,116.88,106.39,106.61,106.61,"3,782,057,553"
"Jan 1, 2024",101.51,109.51,101.51,109.51,109.51,"2,157,671,990"
"Dec 31, 2023",101.84,105.13,99.89,101.51,101.51,"1,748,630,533"
"Dec 30, 2023",106.30,107.33,101.07,101.85,101.85,"1,863,177,830"
"Dec 29, 2023",102.07,109.67,100.06,106.31,106.31,"4,445,797,973"
"Dec 28, 2023",107.02,109.42,97.67,102.10,102.10,"4,492,625,126"
"Dec 27, 2023",112.65,115.03,105.43,107.02,107.02,"4,267,938,569"
"Dec 26, 2023",121.08,121.14,104.73,112.68,112.68,"6,117,657,160"
"Dec 25, 2023",112.56,125.19,108.90,121.15,121.15,"5,951,791,518"
"Dec 24, 2023",107.73,117.38,107.73,112.49,112.49,"6,365,529,251"
"Dec 23, 2023",98.00,109.51,93.11,107.59,107.59,"3,957,434,568"
"Dec 22, 2023",93.86,99.12,90.80,98.00,98.00,"5,284,203,995"
"Dec 21, 2023",82.19,95.32,81.24,93.85,93.85,"4,711,493,441"
"Dec 20, 2023",72.99,83.96,72.99,82.19,82.19,"3,745,738,278"
"Dec 19, 2023",74.35,76.27,72.01,72.99,72.99,"1,900,875,405"
"Dec 18, 2023",70.93,75.38,67.33,74.35,74.35,"2,281,865,174"
"Dec 17, 2023",73.47,74.72,70.82,71.00,71.00,"1,552,380,672"
"Dec 16, 2023",72.43,77.08,71.57,73.47,73.47,"1,781,972,898"
"Dec 15, 2023",75.64,79.15,72.37,72.37,72.37,"2,821,390,652"
"Dec 14, 2023",70.75,76.18,69.86,75.62,75.62,"2,464,938,440"
"Dec 13, 2023",68.53,72.35,64.37,70.77,70.77,"2,414,610,075"
"Dec 12, 2023",70.34,72.34,65.97,68.54,68.54,"2,366,453,484"
"Dec 11, 2023",74.71,74.84,67.22,70.37,70.37,"3,729,540,309"
"Dec 10, 2023",72.27,74.72,70.92,74.71,74.71,"1,849,363,354"
"Dec 9, 2023",74.99,77.50,72.04,72.26,72.26,"2,893,248,364"
"Dec 8, 2023",67.85,75.13,67.84,75.00,75.00,"3,612,712,432"
"Dec 7, 2023",61.93,69.30,61.87,67.84,67.84,"3,002,455,075"
"Dec 6, 2023",60.98,66.38,60.98,61.90,61.90,"3,030,993,886"
"Dec 5, 2023",61.53,62.54,59.25,60.99,60.99,"1,693,517,649"
"Dec 4, 2023",63.04,65.13,60.28,61.53,61.53,"2,211,865,569"
"Dec 3, 2023",63.82,65.40,62.42,63.04,63.04,"1,368,876,645"
"Dec 2, 2023",59.80,63.83,59.77,63.83,63.83,"1,346,327,049"
"Dec 1, 2023",59.24,61.76,58.78,59.80,59.80,"1,376,669,760"
"Nov 30, 2023",59.25,61.44,58.95,59.24,59.24,"1,263,841,021"
"Nov 29, 2023",58.19,61.65,57.86,59.25,59.25,"1,941,361,674"
"Nov 28, 2023",55.06,58.61,54.09,58.19,58.19,"1,412,314,015"
"Nov 27, 2023",57.63,58.02,53.71,55.06,55.06,"1,237,763,215"
"Nov 26, 2023",58.85,58.96,56.51,57.64,57.64,"871,154,750"
"Nov 25, 2023",56.87,59.65,56.33,58.85,58.85,"1,183,793,273"
"Nov 24, 2023",56.58,58.69,56.35,56.87,56.87,"1,146,346,831"
"Nov 23, 2023",57.58,59.47,56.29,56.60,56.60,"1,379,316,733"
"Nov 22, 2023",52.00,58.79,51.74,57.59,57.59,"1,985,653,842"
"Nov 21, 2023",56.54,57.37,51.56,52.00,52.00,"2,440,890,238"
"Nov 20, 2023",61.37,61.37,56.35,56.53,56.53,"1,937,313,546"
"Nov 19, 2023",58.52,62.02,56.88,61.39,61.39,"1,998,656,461"
"Nov 18, 2023",58.39,59.28,55.06,58.51,58.51,"1,942,321,169"
"Nov 17, 2023",57.92,60.42,54.55,58.42,58.42,"3,185,454,735"
"Nov 16, 2023",65.54,67.99,56.81,57.87,57.87,"3,922,608,772"
